,Unnamed: 0,isim,Aciklama,Dil,Star,Fork,Lisans
0,0,iree,👻,C++,215,27,Apache-2.0
1,1,gapid,Graphics API Debugger,Go,"1,497",256,Apache-2.0
2,2,ggrc-core,GGRC Core,Python,487,339,Lisans yok
3,3,ground-android,Ground mobile data collection app for Android,Java,77,37,Apache-2.0
4,4,honggfuzz,"Security oriented fuzzer with powerful analysis options. Supports evolutionary, feedback-driven fuzzing based on code coverage (software- and hardware-based)",C,"1,766",371,Apache-2.0
5,5,vkb,Build scripts to build many bits of Vulkan together in one place.,CMake,3,2,Apache-2.0
6,6,it-cert-automation-practice,Google IT Automation with Python Professional Certificate - Practice files,Python,7,114,Apache-2.0
7,7,boringssl,Mirror of BoringSSL,C,695,303,Lisans yok
8,8,llvm-premerge-checks,CI system for premerge-testing in LLVM project,Python,14,2,Apache-2.0
9,9,tf-quant-finance,High-performance TensorFlow library for quantitative finance.,Jupyter Notebook,857,133,Apache-2.0
10,10,timesketch,Collaborative forensic timeline analysis,Python,"1,254",270,Apache-2.0
11,11,keytransparency,A transparent and secure way to look up public keys.,Go,"1,481",139,Apache-2.0
12,12,verible,"Verible provides a SystemVerilog parser, style-linter, and formatter.",C++,91,14,Apache-2.0
13,13,earthenterprise,Google Earth Enterprise - Open Source,C++,"2,073",744,Apache-2.0
14,14,model-viewer,Easily display interactive 3D models on the web and in AR!,TypeScript,"1,208",117,Apache-2.0
15,15,graphicsfuzz,A testing framework for automatically finding and simplifying bugs in graphics shader compilers.,Java,355,54,Apache-2.0
16,16,riscv-dv,SV/UVM based instruction generator for RISC-V processor verification,SystemVerilog,212,78,Apache-2.0
17,17,syzkaller,syzkaller is an unsupervised coverage-guided kernel fuzzer,Go,"2,757",605,Apache-2.0
18,18,marl,A hybrid thread / fiber task scheduler written in C++ 11,C++,441,32,Apache-2.0
19,19,oss-fuzz,OSS-Fuzz - continuous fuzzing of open source software.,C,"4,964",884,Apache-2.0
20,20,web-stories-wp,Web Stories WordPress plugin,JavaScript,8,2,Apache-2.0
21,21,site-kit-wp,Site Kit is a one-stop solution for WordPress users to use everything Google has to offer to make them successful on the web.,JavaScript,799,118,Apache-2.0
